Row Labels,Count of item_description_raw
Kennedy Feeder Pad - Mount Switch,1
Kennedy Feeder Point-of-Service Access Pad,1
Landside Utility Disconnections,1
Metalizing Repairs,1
Metalizing System at Edge Beams,1
Metered Switchgear Installation,1
Mini - Power Zone,1
Miscellaneous Removals and Backfill,1
Mulch,1
Offsite Haul and Disposal,1
"Panelboard - 240/120V, 100A, 1-Phase, NEMA 3R",1
"Panelboard - 480Y/277V, 100A, 3-Phase, NEMA 3R",1
Pile Crack Repair,1
Pile Spall Repair,1
Reduced Pressure Backflow Assembly and Enclosure,1
Reduced Pressure Detector Assembly and Enclosure,1
