Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
540403 Leveling Course,1,2019D031,AsphaltMixtureBaseandSurfaceCourse(ItemP-403)
550501 0'' Portland Cement Contrete Pavement,1,2018D027,11-Inch Thick Concrete Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,2,2018D027; 2018D029,15-Inch Thick Concrete Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,1,2018D027,18-Inch Thick Concrete Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,1,2018D029,19-Inch Thick Concrete Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,1,2022D027,19-Inch-Thick Concrete Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,1,2023D025,Concrete Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,1,2015D147,Portland Cement Concrete (PCC) Pavement (Item P-501)
550501 0'' Portland Cement Contrete Pavement,1,2017D013,Portland Cement Concrete Pavement (Item P-501)
560602 Bituminous Prime Coat,2,2015D147; 2017D013,Bituminous Prime Coat (Item P-602)
560602 Bituminous Prime Coat,1,2018D027,Emulsified Asphalt Prime Coat (Item P-602)
560603 Bituminous Tack Coat,5,2015D142; 2015D147; 2017D013,Bituminous Tack Coat (Item P-603)
560603 Bituminous Tack Coat,12,2018D027; 2018D029; 2020D022; 2022D027; 2022D028; 2023D011; 2023D016; 2023D025,Emulsified Asphalt Tack Coat (Item P-603)
560603 Bituminous Tack Coat,1,2019D031,EmulsifiedAsphaltTackCoat (ItemP-603)
560603 Bituminous Tack Coat,1,2023D028,Tack Coat
560604 Compression Joint Seal,1,2015D147,Compression Joint Sealant (Item P-604)
560604 Compression Joint Seal,1,2017D013,Compression Joint Seals for Concrete Pavement (Item P-604)
560604 Compression Joint Seal,4,2018D027; 2018D029; 2022D027; 2024D045,Compression Joint Seals for Concrete Pavements (Item P-604)
560605 PCC/AC Joint Seal,1,2024D045,Concrete to Asphalt Joint Seal (Item P-605)
560605 PCC/AC Joint Seal,1,2024D045,Concrete to Concrete Joint Seal (Silicone) (Item P-605)
560605 PCC/AC Joint Seal,1,2015D147,Joint Sealant (Item P-605)
560605 PCC/AC Joint Seal,12,2015D142; 2017D013; 2018D027; 2018D029; 2020D022; 2022D027; 2022D028; 2023D011; 2023D016; 2023D025,Joint Sealing Filler (Item P-605)
560605 PCC/AC Joint Seal,1,2019D031,JointSealingFiller(ItemP-605)
560610 Structural Portland Cement Concrete,1,2022D028,1-Inch GRSC Encased in P-610 in Existing AC (Item L-110)
560610 Structural Portland Cement Concrete,1,2022D028,1.5-Inch GRSC Encased in P-610 in Existing AC (Item L-110)
560610 Structural Portland Cement Concrete,1,2022D028,2-Inch PVC Encased in P-610 in Existing AC (Item L-110)
560610 Structural Portland Cement Concrete,1,2020D022,2-Inch PVC encased in P-610 in Existing AC (Item L-110)
560610 Structural Portland Cement Concrete,5,2018D027; 2020D022; 2022D028; 2023D003; 2023D016,Concrete (Item P-610)
560610 Structural Portland Cement Concrete,1,2019D031,Concrete(ItemP-610)
560610 Structural Portland Cement Concrete,4,2015D142; 2015D147; 2017D013,Steel Reinforcement (Item P-610)
560610 Structural Portland Cement Concrete,2,2017D013; 2023D011,Structural Portland Cement Concrete (Item P-610)
560610 Structural Portland Cement Concrete,3,2015D142; 2015D147,Structural Portland Cement Concrete (PCC) (Item P-610)
560620 Initial Pavement Marking,12,2018D027; 2018D029; 2020D022; 2022D027; 2022D028; 2023D016; 2023D018; 2023D025,Marking (Item P-620)
560620 Initial Pavement Marking,1,2019D031,Marking (ItemP-620)
560620 Initial Pavement Marking,1,2015D147,Pavement Marking (Item P-620)
560620 Initial Pavement Marking,1,2021D017,Pavement Markings (Item P-620)
560620 Initial Pavement Marking,4,2015D142; 2015D147; 2017D013,Phasing Pavement Marking (Item P-620)
560620 Initial Pavement Marking,2,2015D142,Runway Marking (Item P-620)
560620 Initial Pavement Marking,2,2017D013,Runway and Taxiway Marking (Item P-620)
560620 Initial Pavement Marking,2,2023D003,Surface Prep - Existing Pavement (Item P-620)
560620 Initial Pavement Marking,1,2022D028,Surface Preparation - Existing Pavement Surface (Item P-620)
560620 Initial Pavement Marking,2,2018D027,Surface Preparation - New Pavement Surfaces (Item P-620)
560620 Initial Pavement Marking,2,2018D029; 2022D027,Surface Preparation - New or Existing Pavement Surfaces (Item P-620)
560620 Initial Pavement Marking,1,2020D022,Surface Preparation - Remove Existing Marking (Item P-620)
560620 Pavement Marking Removal,2,2023D003,Surface Prep - Marking Removal (Item P-620)
560620 Pavement Marking Removal,1,2022D028,Surface Preparation - Marking Removal (Item P-620)
560620 Permenant Pavement Marking,2,2023D011,Permanent Pavement Marking (Item P-620)
560620 Preformed Thermoplastic Airport Pavement Marking,1,2016D18,"Pavement Marking, Thermoplastic"
560620 Preformed Thermoplastic Airport Pavement Marking,3,2017D013; 2022D028,Preformed Markings (Item P-620)
560620 Reflective Media,3,2023D003,Markings (Item P-620)
560620 Reflective Media,23,2015D142; 2015D147; 2017D013; 2018D027; 2018D029; 2020D022; 2021D017; 2022D027; 2022D028; 2023D003; 2023D011; 2023D016; 2023D018; 2023D025,Reflective Media (Item P-620)
560620 Reflective Media,1,2019D031,ReflectiveMedia (ItemP-620)
560620 Reflective Media,3,2023D011; 2023D016,Surface Preparation (Item P-620)
560620 Reflective Media,1,2020D022,Surface Preparation - Remarking (Item P-620)
