pay_item_id,item_code_raw,item_code_norm,section_code_raw,section_code_norm,item_desc_canonical
57626251284128,,,344300,344300,"Install In-Pavement Runway Guard/Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)"
58057045640251,,,,,Standard 8-Inch Concrete Curb
58315275271850,,,,,ContaminatedMaterialExcavationandDisposal(Section026100)
58715945450468,D-701,D-701,,,12-Inch STS Pipe (Item D-701)
58930500178287,,,,,ExistingElectricalVaultAdjustmenttoGrade(Section312300)
59056608115847,,,015713,015713,Trench Drain Protection (Section 015713)
59940567522636,L-108,L-108,,,Heat Shrink for 5kV L-823 Primary Connector (Item L-108)
60021014466132,D-751,D-751,,,"72-Inch Manhole, Type A (Item D-751)"
60265492437548,,,,,ColdMilling-VariableDepth(Transitional)(ItemP-101)
60744442311915,P-620,P-620,,,Temporary Marking (Item P-620)
61176376416786,,,344300,344300,Install PF Microwave Sensor with CF Transformer in Existing Base Can (Section 344300)
61255249130933,,,,,Vault (Comm) - 444-LA
61855096982965,C-105,C-105,,,Mobilization (Item C-105)
62168578960174,P-501,P-501,,,19-Inch-Thick Concrete Pavement (Item P-501)
62884417993235,,,,,Metalizing System at Edge Beams
63055226398000,,,012200,012200,Sweeper (Section 012200)
63278049545940,,,344301,344301,Adjust Existing In-Pavement Runway Edge Light (Section 344301)
63350190892001,,,344302,344302,Sign V-6 (Section 344302)
63600758392624,,,,,"No.6AWG,Solid,BareCounterpoiseWire,InstalledAbovetheDuctBankorConduit,IncludingConnections/Terminations(ItemL-108)"
64234219801358,,,344300,344300,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)"
65004813802825,,,024113,024113,Remove Bollard - Embedded (Section 024113)
65474568890843,,,,,0
65689990179880,,,,,Connection to Existing Drainage Structure (Sections 012200 and 334100)
66158455079859,,,344302,344302,Sign B8-1 (Section 344302)
66347929178927,C-102,C-102,,,Inlet Protection (Item C-102)
66377468072482,,,,,Pavement Marking
66944343537142,,,,,Vault (Comm) - 444-LA (Traffic Rated)
67334715178715,P-101,P-101,,,Cold Milling - 4.5-Inch Maximum Depth (Item P-101)
67342497917353,P-620,P-620,,,Surface Prep - Marking Removal (Item P-620)
67402639766198,,,344300,344300,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)"
67863204324457,P-401,P-401,,,Asphalt Surface Course (Item P-401)
68022689117257,,,,,H-20 Traffic-Rated Electrical Vaults
69115506288172,,,,,Remove and Reinstall Catch Basin
70044586794453,,,263343,263343,Electrical Charging Units (Primary Units) (Section 263343)
70860044458188,,,,,Asphalt Concrerte Surface Course
71017652962140,,,,,12-Inch DIP Water Pipe
71020587346698,,,,,Contaminated Soil Removal and Haul (Sections 012200 and 026100)
71513947087963,,,012200,012200,Construction Survey (Section 012200)
72139791033276,,,,,UnclassifiedExcavationforStructures (ItemD-752)
72324399952771,,,,,Lead Paint Chip Removal
72521205585794,,,312300,312300,Adjustment of Existing Structures (H-20 Rated Vaults) (Section 312300)
73727035702612,,,,,H-Frame Support
74447113317345,P-101,P-101,,,Cold Milling - 2-Inch Maximum Depth (Item P-101)
74633783582711,,,,,Remove and Reinstall 12-Inch Ductile Iron Pipe
74950074654858,,,024113,024113,Removal of Miscellaneous Site Structures (Section 024113)
75357936922703,D-751,D-751,,,"72-Inch Manhole, Type B (Item D-751)"
75477967215231,,,344302,344302,Sign A5-9 (Section 344302)
77928478254510,,,,,"Level 3, 3/4-Inch Dense HMAC"
78262111700102,P-610,P-610,,,Structural Portland Cement Concrete (Item P-610)
78303127116671,,,,,Concrete Wall Removal
78438813585939,,,,,DitchProtection/CheckDams (Section015713)
78476327231497,,,344300,344300,Reinstall Elevated Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300)
79255225742092,,,,,XHHW Conductor - #12 AWG (Power)
79613356884347,D-701,D-701,,,4-Inch STS Pipe (Item D-701)
80509471263136,,,347115,347115,Precast Concrete Wheel Stop (Section 347115)
80554903698561,P-620,P-620,,,Phasing Pavement Marking (Item P-620)
80768254685916,,,,,Vault (Power) - 776-TRANS-PCORP (Traffic Rated)
80819732984959,,,320117,320117,Asphalt Concrete Surface Course (Section 320117)
81216732408368,,,,,Stormwater Treatment Vaults
82005396229669,L-108,L-108,,,"Counterpoise Ground Rod, 10-Foot Long (Item L-108)"
82049617083739,,,,,24-inchSTS (ItemD-701)
82169465232197,P-603,P-603,,,Bituminous Tack Coat (Item P-603)
82298476236816,,,,,Seeding(ItemT-901)
82311683034985,,,,,AsphaltMixtureBaseandSurfaceCourse(ItemP-403)
82751625301445,,,,,Concrete(ItemP-610)
83021448666584,L-108,L-108,,,"No. 6 AWG, Solid, Bare Counterpoise Wire (Item L-108)"
83594458648839,P-604,P-604,,,Compression Joint Sealant (Item P-604)
84163774379758,,,,,EmbankmentinPlace (ItemP-152)
84381881144468,,,344300,344300,Reinstall Elevated Runway End Light on Existing Base Can with PF Transformer (Section 344300)
84477953733098,L-108,L-108,,,No. 8 AWG 5kV Cable (Item L-108)
84814186449493,P-101,P-101,,,"Asphalt Pavement Removal - 22"" Depth (Item P-101)"
84827356183622,,,,,Site Preparation (Sections 012200 and 320117)
85902704870822,,,344300,344300,"Reinstall Taxiway Centerline Light on CF Base Can, CF Extenstion, CF Flange Ring, and CF Transformer (Section 344300)"
86630316946786,P-101,P-101,,,Asphalt Pavement Removal - 12-Inch Depth (Item P-101)
88265384973824,P-152,P-152,,,Geotextile (Item P-152)
88439424763570,,,,,JetBlastControlMaterial (Section015713)
88824639768958,,,344300,344300,Install PF Runway Centerline Light with CF Transformer on Existing Light Base (Section 344300)
89363044085073,,,012200,012200,"Mobilization, Surveying, Cleanup, and Demobilization (Section 012200)"
89470647219592,,,,,Electrical Feeder Conductor Termination and Testing
90153587984962,,,,,Deck Topping Replacement
90317382501021,,,344300,344300,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)"
90351364734806,,,,,PVC Conduit (Power) - 3 Inch
91019725692151,,,,,AdjustExistingRunway/TaxiwayElevatedEdgeLightwithCFTransformer (Section344301)
91058632356936,D-701,D-701,,,15-Inch Slide Gate (Item D-701)
91118420675078,,,344300,344300,"Reinstall LED Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)"
91124910142911,,,344300,344300,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)"
91338732413854,,,344300,344300,Reinstall In-Pavement Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300)
91416544945659,D-751,D-751,,,60-Inch Manholes (Item D-751)
91531743757493,L-110,L-110,,,2-Inch PVC Encased in Concrete in new Structural AC (Item L-110)
91910001250851,,,,,Repair Existing ARFF Cap (Sections 012200 and 312300)
92372252671368,,,347115,347115,Bollard - Bolt Down (Section 347115)
92464119601170,,,,,Pavement Removal
92867348299623,P-101,P-101,,,"Asphalt Pavement Removal - 12"" Depth Asphalt Grindings (Item P-101)"
92952727857645,,,344302,344302,Sign A7-2 (Section 344302)
93122193725576,,,260500,260500,General Electrical Removal (Section 260500)
93234761712126,,,,,Concrete Removal and Backfill
94525261950198,,,260500,260500,"Electrical Feeds to Enclosed Circuit Breakers (2.5"" Conduit) (Section 260500)"
94865238319308,P-621,P-621,,,Grooving (Item P-621)
94887778009558,,,024113,024113,Building Demolition (Section 024113)
95355893919609,P-153,P-153,,,Controlled Low-Strength Material (CLSM) (Item P-153)
95611948569856,P-610,P-610,,,Concrete (Item P-610)
95668633575839,,,,,ExistingManholeAdjustmenttoGrade-Cleanout (Section312300)
96317849182133,,,260526,260526,Ground Rod for Counterpoise (Section 260526)
96863061334885,,,263343,263343,Electrical Charging Units (Secondary Units) (Section 263343)
97102735044520,D-751,D-751,,,Trench Drain (Item D-751)
97266808592272,P-153,P-153,,,Controlled Low-Strength Material (Item P-153)
97358019099321,P-620,P-620,,,Temporary Pavement Markings (Item P-620)
97931709527670,,,,,Trench Stabilization
98076201157785,,,012200,012200,"Removal, Haul, and Disposal of Demolition Debris (Section 012200)"
98120571407521,P-620,P-620,,,Temporary Runway and Taxiway Marking (Item P-620)
98380397531050,,,012200,012200,Temporary Sewage Bypassing (Section 012200)
98944171314065,,,,,Sweeper (Section012200)
98979579173515,,,,,Crack Seal
99588977449947,,,,,36-Inch STS (Sections 012200 and 334100)
99762624210745,,,,,TemporaryRunwayandTaxiwayMarking (ItemP-620)
99818813134661,,,,,EmulsifiedAsphaltTackCoat (ItemP-603)
100321865801732,,,,,12-Inch Ductile Iron Sewer Pipe
100329287130598,P-603,P-603,,,Emulsified Asphalt Tack Coat (Item P-603)
100507370797183,T-905,T-905,,,Topsoiling (Item T-905)
100538700074338,,,,,"Level 3, 1/2-Inch Dense HMAC"
100906917800872,,,323113,323113,10-Foot Chain Link Fence with Slats and Barbed Wire (Section 323113)
101023071236203,,,,,Bedding and Pipe Zone Material
102421741428582,L-108,L-108,,,"No. 6 AWG, Solid, Bare Counterpoise Wire, Installed in Trench, Above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)"
102503261318381,,,012200,012200,B6 Electrical (Section 012200)
103187092087863,,,,,3'HighBlueReflectiveMarkers (Section012200)
103432767736900,,,344300,344300,Install PF Taxiway Edge Reflector (Section 344300)
104007708755231,P-101,P-101,,,Asphalt Pavement Removal - 13.5-Inch Depth (Item P-101)
104943233371981,,,,,Shoring
105076593234824,,,344302,344302,Sign V-4 (Section 344302)
105546021975772,,,,,Trench Excavation and Select Backfill
106270110274649,,,,,ReinforcingSteel (ItemD-752)
106588419960982,,,260500,260500,Electrical Equipment Rack - Panel Connected (Section 260500)
106990672860511,,,334100,334100,Riprap (Section 334100)
107274352711778,P-403,P-403,,,HMA Base Course (Item P-403)
107389781709187,L-108,L-108,,,"No. 6 AWG, Solid, Bare Copper Counterpoise Wire, Installed above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)"
